Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
689,3.31188,2.96621,2.12296,1.75823,2.68646,2.57767,2.84391,2.73646,5.53765,4.8002,3.93987,3.31364,3.71619,3.02267,3.04125,2.40936,4.39995,3.83556,5.25552,4.78894,4.02646,3.19069,4.61994,3.69529,4.31431,4.36683,3.92197,3.91729,2.86706,2.7879,3.37608,3.34152,3.25613,3.09647,3.50513,3.27588,2.5863,2.47377,3.04236,2.83941,4.9896,4.47348,5.65822,5.28237,6.06662,5.24516,6.57825,5.9923
694,3.35163,3.01195,2.3517,2.02133,3.49113,3.29858,3.59276,3.41265,4.59478,3.79553,3.4212,2.68515,3.7216,3.28878,3.42211,3.11516,4.52313,3.88101,5.55783,4.92974,4.26699,3.35115,5.06513,3.84737,3.88074,3.96704,3.51896,3.54175,2.44723,2.39786,2.97353,2.9616,3.40423,3.27075,3.52149,3.33609,2.52166,2.39092,2.8449,2.64998,5.81391,5.06577,6.57132,5.9044,6.15692,5.47569,6.76929,6.26848
699,2.93065,2.59245,1.93737,1.56464,3.31813,3.07035,3.51957,3.28579,3.83856,3.21265,2.74304,2.20195,3.36851,3.00333,2.92653,2.61888,4.38521,3.75258,5.38022,4.78954,4.12348,3.1588,4.91535,3.5586,3.99732,4.03366,3.49264,3.46767,2.4238,2.28613,2.83141,2.77296,3.35526,3.30164,3.43781,3.36106,2.20006,2.14141,2.44694,2.35602,6.13939,5.43087,6.91174,6.397,5.08966,4.29644,5.33682,4.8016
704,3.36286,2.65523,2.28554,1.70332,3.14249,2.93846,3.28136,3.10638,3.56698,2.94743,2.76591,2.23025,3.92454,3.4948,3.69088,3.36036,4.49214,3.81519,5.47759,4.79866,4.23643,3.22627,5.09711,3.78995,4.35722,4.42117,4.00604,4.00902,2.96057,2.87761,3.46997,3.43875,3.28349,3.18638,3.46673,3.32452,2.61821,2.53402,2.93012,2.81016,5.72279,4.99849,6.3955,5.8126,3.33344,2.74955,3.255,2.95781
709,2.90388,2.39238,2.11047,1.64564,3.43582,3.22531,3.72131,3.51584,3.78155,3.37431,2.75074,2.52133,3.71614,3.35868,3.46137,3.13248,4.32925,3.86873,5.45301,5.01925,3.95374,3.19197,4.79558,3.75282,3.95869,4.08831,3.4561,3.51391,2.43452,2.43636,2.93186,2.96615,3.13073,2.99095,3.31267,3.1371,2.35259,2.25346,2.70301,2.55322,5.06318,4.55197,5.81802,5.41806,2.21153,1.96362,2.32949,2.19881
714,2.46326,2.23168,1.79178,1.57191,2.8795,2.60684,2.9716,2.72947,4.60046,3.67243,3.47654,2.64861,4.01035,3.43492,3.8052,3.35949,4.56367,3.97077,5.61561,5.00748,4.25443,3.37978,5.19525,3.98385,3.6702,3.71992,3.03464,3.04282,2.11098,1.95593,2.39836,2.35632,3.02148,2.93152,3.10986,2.95453,2.13662,2.04466,2.33733,2.13442,4.50833,4.00471,5.01163,4.55742,3.11997,2.54266,2.97197,2.54624
719,2.87879,2.5306,2.17256,1.94292,2.8925,2.67056,3.04686,2.83398,3.8617,3.19163,2.98954,2.43111,3.63464,3.17755,3.23567,2.89074,4.01276,3.86996,4.98069,4.94377,3.47745,3.13084,4.08464,3.72142,3.92887,3.99709,3.25735,3.20784,2.2442,2.07591,2.63338,2.49942,3.17971,3.01094,3.2998,3.06426,2.31134,2.16802,2.65964,2.42288,4.10836,3.33489,4.52683,3.8469,2.76509,2.02388,2.77139,2.24872
724,2.94025,2.74111,1.99615,1.88535,2.79868,2.40182,2.89238,2.56009,3.89965,3.22778,3.02492,2.41744,3.59674,3.01129,3.13348,2.71467,4.44489,3.91426,5.50832,4.99167,4.10242,3.27824,4.92078,3.76754,3.81913,3.92693,3.24954,3.27566,2.20642,2.14489,2.62929,2.60468,3.68249,3.38672,3.90028,3.55414,2.84554,2.60162,3.26096,2.92453,4.1267,3.6414,4.5587,4.20261,3.53293,2.78507,3.67348,3.21689
729,3.24411,2.92926,2.1137,1.82371,2.3188,2.06136,2.36062,2.13053,4.25544,3.57771,3.19862,2.57982,3.7015,3.01177,3.14144,2.68232,4.38388,3.73242,5.42032,4.86712,4.12467,3.1333,4.87242,3.62516,3.76436,3.88602,3.13483,3.14413,2.01272,1.97113,2.35481,2.30826,3.37848,3.12068,3.66978,3.32015,2.68001,2.46744,3.15816,2.81777,4.59895,4.12749,5.17676,4.87349,3.48655,2.87965,3.56493,3.18683
734,2.88271,2.5673,1.92007,1.5297,2.10514,1.7822,2.14801,1.8307,4.70394,4.00521,3.32754,2.86009,3.58867,3.21938,3.19414,2.92317,4.32501,3.60383,5.22326,4.59089,4.08485,3.07148,4.81585,3.6062,3.76021,3.87747,3.23006,3.26258,2.19363,2.17748,2.60891,2.60739,3.75004,3.43129,4.00149,3.63121,2.74312,2.49257,3.1993,2.85181,6.07373,5.24905,6.69712,6.04552,2.9499,2.23524,2.67518,2.2817
