timestep,ha_1bpi,ca_1bpi,bb_1bpi,hant_1bpi,cant_1bpi,bbnt_1bpi,ha_1l2y,ca_1l2y,bb_1l2y,hant_1l2y,cant_1l2y,bbnt_1l2y,ha_1ubq,ca_1ubq,bb_1ubq,hant_1ubq,cant_1ubq,bbnt_1ubq,ha_1ucs,ca_1ucs,bb_1ucs,hant_1ucs,cant_1ucs,bbnt_1ucs,ha_1vii,ca_1vii,bb_1vii,hant_1vii,cant_1vii,bbnt_1vii,ha_1wm3,ca_1wm3,bb_1wm3,hant_1wm3,cant_1wm3,bbnt_1wm3,ha_2oed,ca_2oed,bb_2oed,hant_2oed,cant_2oed,bbnt_2oed,ha_2ppn,ca_2ppn,bb_2ppn,hant_2ppn,cant_2ppn,bbnt_2ppn,ha_7skw,ca_7skw,bb_7skw,hant_7skw,cant_7skw,bbnt_7skw
200.6,2.98328,1.86033,1.76665,2.99823,1.81863,1.71523,4.20837,3.27113,2.97196,3.42427,2.3432,2.17797,4.21184,4.00036,4.06656,2.81017,2.09338,2.01583,2.67813,2.06393,2.08098,1.42271,1.07501,1.03868,3.56384,2.74075,2.63299,3.40219,2.61655,2.51217,4.64338,3.54449,3.45431,4.32879,3.29379,3.19308,2.84493,2.09667,1.9705,2.84197,2.08174,1.95446,3.77155,3.58636,3.51981,2.66807,2.07147,2.02098,6.82952,2.98734,2.89186,3.47747,2.83903,2.74293
200.8,2.91771,1.82348,1.72876,2.92193,1.77194,1.66604,4.17307,3.25103,2.9389,3.42598,2.33679,2.15613,4.24953,4.07695,4.14257,2.76865,2.08328,2.01261,2.56431,1.9128,1.93063,1.37017,0.97271,0.93427,3.62597,2.91325,2.80467,3.41251,2.72357,2.61636,4.59979,3.58632,3.50002,4.37766,3.39293,3.29122,2.98948,2.1831,2.06211,2.99529,2.16906,2.04942,3.72637,3.49527,3.42617,2.71826,2.13414,2.08393,6.97347,2.95743,2.8684,3.44906,2.81973,2.72621
201,2.84213,1.69971,1.60574,2.85607,1.64641,1.54965,4.21339,3.29086,2.9832,3.49077,2.38769,2.19431,4.21502,4.08435,4.14952,2.74928,2.10124,2.0324,2.35409,1.71094,1.72396,1.36358,1.00666,0.97553,3.57456,2.72664,2.6341,3.20405,2.47018,2.37683,4.52656,3.46321,3.37442,4.34547,3.29022,3.18803,2.88402,2.09093,1.95533,2.86784,2.06896,1.93843,3.66245,3.44017,3.36933,2.67206,2.06977,2.01861,6.99502,3.03459,2.9533,3.52824,2.89638,2.81245
201.2,2.85575,1.67567,1.58511,2.87348,1.62594,1.52809,4.23304,3.29908,2.97132,3.49296,2.43264,2.23336,4.23866,4.07309,4.13711,2.79155,2.11918,2.04733,2.41442,1.74431,1.77475,1.20865,0.75896,0.73917,3.70947,2.83721,2.75326,3.31902,2.52944,2.44382,4.53259,3.47464,3.38538,4.34324,3.29065,3.18904,2.91113,2.15223,2.02006,2.92035,2.14717,2.01805,3.66645,3.43235,3.37195,2.63173,2.00116,1.95351,7.01717,2.99372,2.90419,3.48747,2.85675,2.7639
201.4,2.99658,1.9368,1.85234,2.98593,1.85963,1.76888,4.26944,3.32039,2.99533,3.4863,2.39736,2.19467,4.29987,4.14652,4.22217,2.8035,2.11843,2.0485,2.59218,1.96871,1.9796,1.42008,1.05928,1.03268,3.77055,2.94147,2.82291,3.55101,2.78593,2.678,4.5526,3.52357,3.43881,4.3806,3.35854,3.25902,2.96947,2.23744,2.11678,2.97138,2.21967,2.10364,3.72771,3.49045,3.43079,2.71931,2.096,2.04792,6.91401,2.97221,2.88379,3.48961,2.84152,2.74944
201.6,2.86808,1.7262,1.62804,2.87123,1.67017,1.56292,4.27253,3.24859,2.93086,3.52351,2.33119,2.15348,4.21039,4.05297,4.11998,2.73485,2.04664,1.97848,2.4454,1.82437,1.84957,1.31608,1.00281,0.9707,3.68108,2.85443,2.74696,3.43071,2.66862,2.56576,4.46671,3.4851,3.38955,4.34469,3.31494,3.21973,2.93691,2.11647,1.9795,2.93206,2.09416,1.95952,3.6923,3.42161,3.36128,2.73511,2.12546,2.08023,6.95351,2.97626,2.88187,3.49308,2.84211,2.74466
201.8,2.84431,1.6573,1.56278,2.85164,1.5977,1.49198,4.31938,3.3898,3.08142,3.52313,2.48019,2.28544,4.26784,4.14152,4.21609,2.73316,2.08283,2.01015,2.71783,2.10839,2.1274,1.41734,1.08941,1.06853,3.67067,2.87293,2.76645,3.4523,2.7354,2.64209,4.48376,3.42875,3.3304,4.34135,3.2658,3.15623,2.99267,2.22042,2.08146,2.99258,2.21275,2.07282,3.64482,3.39087,3.32165,2.69454,2.0733,2.02194,7.14633,2.99687,2.9041,3.51458,2.86221,2.76848
202,3.00766,1.87583,1.76706,3.0092,1.79751,1.68103,4.26684,3.28575,2.96098,3.56451,2.43819,2.24267,4.23374,4.06391,4.12853,2.72981,2.04472,1.97922,2.72144,2.06845,2.10226,1.40825,1.06167,1.03692,3.72935,2.86628,2.77135,3.39614,2.65222,2.56977,4.43518,3.40877,3.31278,4.31902,3.27273,3.16115,2.74188,1.98442,1.85428,2.70484,1.94792,1.82461,3.68115,3.42758,3.35827,2.70667,2.07485,2.0229,7.01497,2.96495,2.87157,3.47148,2.8291,2.73372
202.2,2.91274,1.79106,1.67732,2.91403,1.71776,1.59902,4.20109,3.25228,2.94633,3.45513,2.36686,2.19196,4.35088,4.18857,4.25966,2.83116,2.12252,2.04018,2.5116,1.89865,1.93456,1.34169,0.95123,0.93398,3.76002,2.87359,2.77373,3.32874,2.44918,2.34435,4.56129,3.5339,3.43092,4.39692,3.35146,3.23594,2.86558,2.09179,1.96375,2.85467,2.06134,1.93809,3.74602,3.51691,3.45363,2.70655,2.08221,2.0326,7.21241,2.99826,2.90539,3.48698,2.84558,2.74922
202.4,2.79498,1.61788,1.52814,2.80181,1.5486,1.4541,4.15615,3.23568,2.92148,3.405,2.35359,2.15603,4.2931,4.13063,4.19653,2.79289,2.11206,2.03658,2.45331,1.85614,1.88053,1.2369,0.87377,0.84868,3.69173,2.87606,2.77794,3.30098,2.60126,2.5107,4.46079,3.4306,3.33077,4.35225,3.308,3.20161,2.8216,2.03743,1.91377,2.82014,2.01079,1.89434,3.71347,3.45698,3.39322,2.72563,2.11743,2.06345,7.42372,2.96043,2.87372,3.46258,2.82786,2.73854
