Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
2232,2.86111,2.41021,1.87902,1.44933,2.98077,2.65339,3.09312,2.81175,5.43762,4.7164,3.9724,3.43474,5.97007,5.17695,5.59329,4.68419,5.97365,4.24345,6.58887,5.10561,5.83361,3.62685,6.39703,4.126,6.33331,6.09193,5.98715,5.77145,4.40562,4.12495,4.9131,4.71988,4.11631,3.16259,3.7075,2.9227,3.65105,2.34394,3.35125,2.35475,7.05982,6.48826,7.4814,7.04751,6.36377,5.50747,6.69232,6.14928
2233,3.05721,2.70105,2.19653,1.87672,3.36237,2.97156,3.4705,3.09798,5.41601,4.65925,4.09601,3.56593,6.02213,5.24699,5.70403,4.72405,6.02111,4.45876,6.82368,5.49541,5.82338,3.85332,6.71881,4.8065,6.39523,6.17545,6.02176,5.83403,4.40433,4.13764,4.86806,4.69995,4.10286,3.46998,3.64255,3.05229,3.51341,2.56758,3.28762,2.49572,6.72414,6.14077,7.00535,6.53741,6.34344,5.5588,6.54904,6.00484
2234,3.00425,2.72786,2.03138,1.82123,2.947,2.69674,3.08775,2.86472,5.72463,4.96284,4.17575,3.59306,5.54388,5.02162,5.20096,4.50906,6.04047,4.37556,6.70265,5.29424,5.84809,3.74912,6.59915,4.54137,6.29462,6.11526,5.94355,5.79995,4.27659,4.06953,4.82112,4.70161,3.79356,3.11711,3.31876,2.78476,3.50978,2.60613,3.1627,2.48105,6.92045,6.37334,7.22742,6.81018,5.80522,4.92763,5.79639,5.16058
2235,2.72729,2.49717,1.8824,1.70706,2.79218,2.68005,2.86667,2.73207,5.25946,4.58509,3.90291,3.40463,5.68788,5.0494,5.26044,4.3817,6.17279,4.43483,6.94043,5.48891,6.00776,3.83076,6.82681,4.6958,6.42258,6.15261,6.06305,5.84686,4.48373,4.17701,4.96995,4.77359,3.61931,2.8731,3.06418,2.36881,3.30364,2.26139,2.84637,1.90584,6.92723,6.3958,7.19507,6.79977,6.13741,5.30523,6.17982,5.6118
2236,3.01774,2.78349,2.06104,1.87054,2.81724,2.55204,2.82637,2.5829,5.50331,4.6787,4.19288,3.66911,5.31021,4.68355,4.90274,4.10464,5.9927,4.39346,6.81552,5.54095,5.81515,3.79838,6.63367,4.7206,6.29173,6.07828,5.94174,5.7613,4.24547,3.98911,4.74784,4.5786,3.84617,2.99228,3.38121,2.67481,3.55608,2.43912,3.23413,2.35412,6.76808,6.24923,7.01578,6.65195,5.96149,5.08186,6.06086,5.498
2237,3.21977,2.98046,2.08968,1.89927,2.90183,2.68477,2.99169,2.79202,5.29257,4.56498,3.9714,3.45368,5.08296,4.54619,4.60536,3.87838,6.109,4.49111,6.85027,5.52651,5.9079,3.89559,6.72165,4.78532,6.30504,6.06691,5.9252,5.73498,4.36465,4.08802,4.85257,4.68308,3.67875,2.92829,3.24206,2.55358,3.42457,2.40478,3.07346,2.17201,7.04063,6.44941,7.39785,6.95934,6.0771,5.3648,6.24122,5.74432
2238,3.10505,2.8333,2.01813,1.76224,2.43828,1.88966,2.35329,1.87621,5.22094,4.30308,3.92986,3.27915,5.09233,4.5328,4.5245,3.71011,5.90293,4.29489,6.43731,5.06998,5.69977,3.65353,6.24852,4.19054,6.27823,6.08027,5.93141,5.7473,4.32205,4.08437,4.82636,4.65511,3.72869,3.14159,3.22567,2.71729,3.37222,2.53725,3.01203,2.33376,7.37024,6.63196,7.86848,7.26208,5.92374,5.08597,6.06788,5.53127
2239,3.18423,2.79747,2.18148,1.85832,2.16381,2.06711,2.17693,2.06718,4.8706,4.13336,3.61418,3.11268,5.08761,4.60085,4.61794,3.9348,5.77348,4.22406,6.43749,5.14142,5.55221,3.57609,6.23226,4.33632,6.29388,6.07234,5.84971,5.67395,4.27395,3.99724,4.74352,4.57538,3.68987,3.07553,3.1482,2.6158,3.34537,2.48927,2.9572,2.25476,7.21548,6.62834,7.68141,7.21862,6.23088,5.3158,6.29359,5.66293
2240,3.01667,2.59619,1.96795,1.61986,2.48925,2.28194,2.63356,2.45423,4.24016,3.76582,3.24296,2.93255,5.46604,4.85641,4.96642,4.19914,5.86944,4.29636,6.61189,5.38025,5.63315,3.64554,6.36483,4.53328,6.26703,6.06261,5.86912,5.72318,4.22447,3.99518,4.7036,4.57913,4.01735,3.191,3.53435,2.84442,3.50511,2.36277,3.15848,2.25916,7.25597,6.68526,7.67894,7.2654,5.82229,4.90959,5.88811,5.28812
2241,3.52567,3.09933,2.06002,1.70176,2.74467,2.53119,2.90988,2.71614,4.19681,3.55962,2.95859,2.5726,5.12356,4.65534,4.63053,4.03551,6.13949,4.36581,6.73361,5.27128,5.95248,3.72063,6.61089,4.48788,6.38393,6.1246,5.99027,5.7705,4.45071,4.14806,4.90035,4.69845,3.94635,3.12508,3.48528,2.80017,3.48021,2.36339,3.17446,2.3072,7.2407,6.70966,7.73916,7.35671,5.86393,4.96606,6.02289,5.41254
