151.59645,200.69078,206.17064
124.88166,166.65270,170.67722
118.60923,159.78409,163.28396
132.16109,176.70500,180.73501
116.55935,157.22699,158.70385
119.88451,162.04793,163.70710
112.21041,150.40804,154.37548
129.72613,173.73746,178.12185
145.65062,196.99349,202.67457
115.36269,154.90759,161.48699
128.43467,174.52660,178.64701
138.13796,186.10053,191.31442
125.51832,170.12261,173.11763
137.69005,185.76245,187.90754
122.26384,165.13140,167.16468
120.66113,163.44266,165.45436
117.88503,160.08280,162.86683
127.37920,171.90290,174.94478
128.34795,170.94658,171.98325
131.73446,174.51868,178.22407
123.09699,166.91790,169.83060
129.28529,170.95568,175.21528
125.51299,166.68122,167.46949
136.53979,184.59236,188.09852
132.20507,177.60604,178.57173
144.61650,192.05025,197.06594
130.07689,174.79178,176.53694
127.88316,171.47313,173.98187
117.43938,156.07940,159.47454
127.65130,172.15337,173.22117
135.06513,182.49521,184.66913
123.21389,164.89127,166.88764
131.02520,175.64088,178.27281
125.66027,169.09687,170.82829
131.29416,174.93740,181.47185
141.67478,190.79262,194.71192
136.47188,183.38780,187.42475
125.24763,167.07780,170.90620
124.77444,168.80045,170.84607
132.84549,179.68066,184.92566
120.62849,160.80084,162.14928
115.64413,156.56798,160.73801
132.36396,177.11489,182.34508
125.57570,169.24627,170.42050
127.99447,170.20128,173.16270
129.09385,172.23360,173.72838
114.29413,153.20700,154.29294
138.03210,182.00982,185.79094
122.41449,162.80289,166.35781
132.36156,177.07476,178.99558
140.76004,189.98252,191.11985
120.54549,161.02286,163.08314
126.66862,170.13245,171.63686
120.61390,161.39345,162.12455
136.52649,180.32110,181.86597
128.47446,171.43143,172.58817
125.98976,168.35236,171.07202
129.32939,174.97349,176.00228
125.94246,165.02013,165.77974
121.05299,162.60379,166.20176
112.55732,150.75453,153.15777
131.37559,176.46559,178.24058
123.67652,163.51799,165.25524
135.43880,182.16906,185.94144
134.33861,180.91853,185.14539
125.81912,165.64135,170.61770
134.79390,174.93711,177.29289
143.55208,183.42576,189.19561
139.06201,180.99164,184.91280
139.41917,181.92843,184.43318
123.71089,167.00223,171.74589
115.39770,151.24955,153.80731
121.88821,160.69063,165.23338
119.88112,156.60895,160.73669
120.67394,162.04872,168.33869
114.21172,154.58162,156.71640
136.10112,182.60071,188.41754
116.81038,155.93631,162.53360
113.19830,153.20541,160.02113
113.24347,150.88612,156.73171
120.77807,164.79318,168.11292
139.13138,189.58879,197.53623
128.04546,171.63152,177.58574
135.30847,179.46697,185.00676
128.66727,171.34260,174.00510
129.23625,176.99558,177.98544
127.63909,171.08364,172.63745
139.71567,185.65832,190.07988
142.22466,187.33672,193.05689
146.52478,195.03820,200.01809
146.30450,193.50449,198.17157
145.24759,191.91560,199.30164
142.74200,186.70553,194.64190
130.24436,175.32355,178.70425
132.38373,177.78866,181.62261
128.24404,170.91101,174.25753
137.75445,184.69235,190.73104
126.90522,170.37637,174.01815
137.71360,184.59601,190.24445
126.54231,170.46715,172.24593
132.95022,176.35290,179.22733
140.57227,185.93924,191.61868
128.27443,172.10247,177.33886
136.79380,180.97845,186.70969
133.91703,175.97762,183.34379
136.24278,179.49044,182.15402
137.60307,183.39935,185.47963
136.64886,178.04481,183.55115
125.89558,167.06427,172.14252
133.53678,178.02641,183.55545
125.27492,166.01458,170.01539
140.34962,183.90006,188.13694
134.93005,180.27918,183.02098
142.75974,190.25097,195.44230
141.98584,186.61099,192.10982
143.38547,188.86124,193.00649
151.01013,201.42108,205.55967
138.87340,184.23249,189.46048
132.77218,178.27899,182.22665
135.54090,178.61387,181.45650
143.42056,189.38989,195.92453
143.37806,188.81311,194.92911
129.89296,173.01475,177.57453
137.29005,184.85414,189.20065
138.71756,181.73143,186.21833
132.06161,174.09239,179.64794
135.48439,181.38680,185.64676
138.44722,183.10917,187.65848
127.56466,167.84961,172.53259
132.97105,176.93030,180.76063
135.58238,181.27808,186.07003
126.55825,172.60098,176.34013
124.32573,168.63309,172.23473
130.37957,175.07231,181.61446
122.52030,163.46871,166.68245
124.60974,168.82808,171.94130
129.55600,174.34746,178.68431
130.46657,174.68657,180.68301
133.13534,177.37984,182.03762
128.70405,171.40546,175.48282
117.96458,156.28775,159.14537
114.47312,156.55969,160.39258
121.22729,161.94325,164.96546
121.84677,166.36974,170.02914
118.38567,159.47744,162.71360
139.68318,189.64325,193.59300
114.10380,155.38173,159.34453
117.86072,157.93802,163.77995
137.48452,182.51159,185.67799
132.50657,177.64777,182.83133
133.11674,179.38971,184.18509
107.34497,147.28014,150.35070
123.61100,166.77200,167.34367
123.19351,165.84301,172.01244
122.94150,167.12685,170.48882
126.91978,171.46087,174.59764
124.10836,167.46080,172.08202
135.44656,183.50836,186.97169
131.75765,177.28018,180.76698
141.90302,189.95717,196.16002
113.74276,155.75653,159.36203
119.67369,160.38294,165.82501
126.92279,170.72299,176.32891
130.67301,174.53749,179.61116
124.37046,167.81852,173.11699
121.50304,163.22543,165.13049
122.22733,163.98639,167.98118
126.40971,172.10782,176.81628
136.42628,185.39862,188.74085
136.08270,182.87526,185.54319
131.53547,178.88000,182.00304
133.44759,179.16530,186.11834
132.15217,177.15892,181.29165
115.87609,153.72641,160.55786
134.05473,180.92758,184.54155
112.83920,155.37453,157.84480
133.33497,179.68593,186.81959
130.76659,179.46414,184.97270
131.83477,177.17203,184.39844
132.02413,179.76002,185.01561
133.54876,182.84399,187.77762
111.49379,154.48750,156.41111
129.41517,180.47652,183.26934
126.31720,173.48417,176.21299
132.08860,181.24025,183.37306
136.12689,185.97540,188.32350
